cpt, raw_angle, angle
80616, 2.117277, 325.1768
80617, 2.110758, 325.1831
80618, 2.105389, 325.1894
80619, 2.098102, 325.1956
80620, 2.091583, 325.2019
80621, 2.085063, 325.2082
80622, 2.080078, 325.2145
80623, 2.071258, 325.2208
80624, 2.067039, 325.2271
80625, 2.06052, 325.2333
80626, 2.053617, 325.2396
80627, 2.048631, 325.2459
80628, 2.040962, 325.2522
80629, 2.034826, 325.2585
80630, 2.029457, 325.2648
80631, 2.023321, 325.2711
80632, 2.017185, 325.2773
80633, 2.011432, 325.2836
80634, 2.00568, 325.2899
80635, 1.99916, 325.2962
80636, 1.992258, 325.3025
80637, 1.988039, 325.3087
80638, 1.98152, 325.315
80639, 1.975767, 325.3213
80640, 1.969248, 325.3276
80641, 1.962728, 325.3339
80642, 1.956592, 325.3401
80643, 1.94969, 325.3464
80644, 1.942787, 325.3527
80645, 1.936651, 325.359
80646, 1.931665, 325.3653
80647, 1.924379, 325.3716
80648, 1.91901, 325.3779
80649, 1.912107, 325.3841
80650, 1.905204, 325.3904
80651, 1.899452, 325.3967
80652, 1.892932, 325.403
80653, 1.886796, 325.4093
80654, 1.881811, 325.4156
80655, 1.873374, 325.4218
80656, 1.867238, 325.4281
80657, 1.861102, 325.4344
80658, 1.85535, 325.4407
80659, 1.850748, 325.447
80660, 1.843845, 325.4533
80661, 1.837325, 325.4595
80662, 1.830039, 325.4658
80663, 1.823903, 325.4721
80664, 1.817384, 325.4784
80665, 1.811631, 325.4847
80666, 1.804728, 325.491
80667, 1.798592, 325.4972
80668, 1.79169, 325.5035
80669, 1.784787, 325.5098
80670, 1.779034, 325.5161
80671, 1.772131, 325.5224
80672, 1.765995, 325.5287
80673, 1.759476, 325.5349
80674, 1.751039, 325.5412
80675, 1.745287, 325.5475
80676, 1.739534, 325.5538
80677, 1.731481, 325.5601
80678, 1.726879, 325.5663
80679, 1.719592, 325.5726
80680, 1.714607, 325.5789
80681, 1.706937, 325.5852
80682, 1.700801, 325.5915
80683, 1.693898, 325.5978
80684, 1.687379, 325.6041
80685, 1.681243, 325.6103
80686, 1.675107, 325.6166
80687, 1.668204, 325.6229
80688, 1.662452, 325.6292
80689, 1.654398, 325.6355
80690, 1.649029, 325.6418
80691, 1.642893, 325.648
80692, 1.636757, 325.6543
80693, 1.629855, 325.6606
80694, 1.623719, 325.6669
80695, 1.617966, 325.6732
80696, 1.609913, 325.6794
80697, 1.604544, 325.6857
80698, 1.597641, 325.692
80699, 1.591889, 325.6983
80700, 1.585753, 325.7046
80701, 1.579617, 325.7109
80702, 1.573097, 325.7172
80703, 1.568112, 325.7234
80704, 1.561209, 325.7297
80705, 1.55469, 325.736
80706, 1.548937, 325.7423
80707, 1.542418, 325.7486
80708, 1.536282, 325.7549
80709, 1.530913, 325.7611
80710, 1.52516, 325.7674
80711, 1.519024, 325.7737
80712, 1.512122, 325.78
80713, 1.505602, 325.7863
80714, 1.499083, 325.7925
80715, 1.49333, 325.7988
80716, 1.486427, 325.8051
80717, 1.481442, 325.8114
80718, 1.474539, 325.8177
80719, 1.468403, 325.824
80720, 1.461884, 325.8302
80721, 1.454597, 325.8365
80722, 1.449228, 325.8428
80723, 1.443476, 325.8491
80724, 1.436957, 325.8554
80725, 1.431204, 325.8617
80726, 1.424685, 325.868
80727, 1.418549, 325.8742
80728, 1.413947, 325.8805
80729, 1.40666, 325.8868
80730, 1.401291, 325.8931
80731, 1.394389, 325.8994
80732, 1.388253, 325.9056
80733, 1.3825, 325.9119
80734, 1.376364, 325.9182
80735, 1.369461, 325.9245
80736, 1.365626, 325.9308
80737, 1.35719, 325.9371
80738, 1.351054, 325.9433
80739, 1.343767, 325.9496
80740, 1.338398, 325.9559
80741, 1.331112, 325.9622
80742, 1.326126, 325.9685
80743, 1.31884, 325.9748
80744, 1.313088, 325.981
80745, 1.306185, 325.9873
80746, 1.299665, 325.9936
80747, 1.293913, 325.9999
80748, 1.287777, 326.0062
80749, 1.281641, 326.0125
80750, 1.275505, 326.0187
80751, 1.268219, 326.025
80752, 1.26285, 326.0313
80753, 1.257097, 326.0376
80754, 1.250578, 326.0439
80755, 1.243291, 326.0502
80756, 1.237923, 326.0564
80757, 1.23217, 326.0627
80758, 1.225651, 326.069
80759, 1.219131, 326.0753
80760, 1.212995, 326.0816
80761, 1.205709, 326.0879
80762, 1.200723, 326.0941
80763, 1.193437, 326.1004
80764, 1.187685, 326.1067
80765, 1.180015, 326.113
80766, 1.175413, 326.1193
80767, 1.16851, 326.1255
80768, 1.163141, 326.1318
80769, 1.156621, 326.1381
80770, 1.150486, 326.1444
80771, 1.143583, 326.1507
80772, 1.137447, 326.157
80773, 1.131311, 326.1633
80774, 1.125175, 326.1695
80775, 1.120189, 326.1758
80776, 1.114053, 326.1821
80777, 1.109452, 326.1884
80778, 1.102932, 326.1947
80779, 1.096413, 326.201
80780, 1.091044, 326.2072
80781, 1.085291, 326.2135
80782, 1.079155, 326.2198
80783, 1.072636, 326.2261
80784, 1.066884, 326.2324
80785, 1.060748, 326.2386
80786, 1.053845, 326.2449
80787, 1.048859, 326.2512
80788, 1.041956, 326.2575
80789, 1.036587, 326.2638
80790, 1.030068, 326.2701
80791, 1.024699, 326.2763
80792, 1.018947, 326.2826
80793, 1.01166, 326.2889
80794, 1.007058, 326.2952
80795, 1.001306, 326.3015
80796, 0.9947866, 326.3078
80797, 0.9882671, 326.3141
80798, 0.9832817, 326.3203
80799, 0.9767623, 326.3266
80800, 0.9721603, 326.3329
80801, 0.9660244, 326.3392
80802, 0.9606555, 326.3455
80803, 0.9541361, 326.3517
80804, 0.9487671, 326.358
80805, 0.9422477, 326.3643
80806, 0.9364952, 326.3706
80807, 0.9311264, 326.3769
80808, 0.9249904, 326.3832
80809, 0.918471, 326.3894
80810, 0.9123351, 326.3957
80811, 0.9054322, 326.402
80812, 0.9004467, 326.4083
80813, 0.8935438, 326.4146
80814, 0.8877914, 326.4209
80815, 0.8824224, 326.4272
80816, 0.875136, 326.4334
80817, 0.8697671, 326.4397
80818, 0.8632477, 326.446
80819, 0.8578787, 326.4523
80820, 0.8505924, 326.4586
80821, 0.8444564, 326.4648
80822, 0.8398545, 326.4711
80823, 0.8329515, 326.4774
80824, 0.8279662, 326.4837
80825, 0.8210632, 326.49
80826, 0.8160778, 326.4963
80827, 0.8095583, 326.5026
80828, 0.803039, 326.5088
80829, 0.7980535, 326.5151
80830, 0.7911506, 326.5214
80831, 0.7846312, 326.5277
80832, 0.7796457, 326.534
80833, 0.7731263, 326.5403
80834, 0.7673739, 326.5465
80835, 0.7608545, 326.5528
80836, 0.755869, 326.5591
80837, 0.7489661, 326.5654
80838, 0.7420632, 326.5717
80839, 0.7370778, 326.5779
80840, 0.7305583, 326.5842
80841, 0.7228885, 326.5905
80842, 0.71867, 326.5968
80843, 0.7121506, 326.6031
80844, 0.7067816, 326.6094
80845, 0.6994953, 326.6156
80846, 0.6948933, 326.6219
80847, 0.6883739, 326.6282
80848, 0.6826215, 326.6345
80849, 0.676102, 326.6408
80850, 0.6695826, 326.6471
80851, 0.6638302, 326.6534
80852, 0.6573108, 326.6596
80853, 0.6515583, 326.6659
80854, 0.6442719, 326.6722
80855, 0.6385195, 326.6785
80856, 0.6316166, 326.6848
80857, 0.6254807, 326.691
80858, 0.6197283, 326.6974
80859, 0.6116748, 326.7036
80860, 0.6055389, 326.7099
80861, 0.5982525, 326.7162
80862, 0.5917331, 326.7225
80863, 0.5840632, 326.7287
80864, 0.5763933, 326.735
80865, 0.5714079, 326.7413
80866, 0.5641214, 326.7476
80867, 0.5572185, 326.7539
80868, 0.5506991, 326.7602
80869, 0.5430292, 326.7664
80870, 0.5361263, 326.7727
80871, 0.5292234, 326.779
80872, 0.5215535, 326.7853
80873, 0.515801, 326.7916
80874, 0.5081311, 326.7979
80875, 0.5012282, 326.8041
80876, 0.4939418, 326.8104
80877, 0.4870389, 326.8167
80878, 0.477835, 326.823
80879, 0.4716991, 326.8293
80880, 0.4644127, 326.8355
80881, 0.4563593, 326.8418
80882, 0.4483059, 326.8481
80883, 0.441403, 326.8544
80884, 0.4341166, 326.8607
80885, 0.4268301, 326.867
80886, 0.4183933, 326.8733
80887, 0.4103399, 326.8795
80888, 0.40267, 326.8858
80889, 0.395767, 326.8921
80890, 0.3884806, 326.8984
80891, 0.3808107, 326.9047
80892, 0.3739078, 326.9109
80893, 0.3650874, 326.9172
80894, 0.3581845, 326.9235
80895, 0.3512816, 326.9298
80896, 0.3447622, 326.9361
80897, 0.3359418, 326.9424
80898, 0.3298059, 326.9487
80899, 0.3232864, 326.9549
80900, 0.3163835, 326.9612
80901, 0.3094806, 326.9675
80902, 0.3014272, 326.9738
80903, 0.2949078, 326.9801
80904, 0.2883884, 326.9864
80905, 0.281102, 326.9926
80906, 0.2738156, 326.9989
80907, 0.2676797, 327.0052
80908, 0.2611602, 327.0115
80909, 0.2542573, 327.0178
80910, 0.2477379, 327.024
80911, 0.2412185, 327.0303
80912, 0.2346991, 327.0366
80913, 0.2293301, 327.0429
80914, 0.2224272, 327.0492
80915, 0.2166748, 327.0555
80916, 0.2097719, 327.0617
80917, 0.2036359, 327.068
80918, 0.1986505, 327.0743
80919, 0.1921311, 327.0806
80920, 0.1871457, 327.0869
80921, 0.1798593, 327.0932
80922, 0.1748738, 327.0995
